key,value,reference value,description
inapp_portal.subscription.header.choose_pm,,Choose your payment method for this subscription,Choose your payment method for this subscription
inapp_portal.subscription.update_sub_pm,,Update,Update
inapp_portal.subscription.cancel.link.txt,,Cancel Subscription,Cancel Subscription
inapp_portal.subscription.next.renewing_estimate.now,,You will be charged %{amount} for prorated charges via,You will be charged %{amount} for prorated charges via
inapp_portal.subscription.next.renewing_estimate.eot.non_recurring,,You will be charged %{amount} via,You will be charged %{amount} via
inapp_portal.subscription.next.renewing_estimate.eot,,You will be charged %{amount} every %{billing_period} via,You will be charged %{amount} every %{billing_period} via
inapp_portal.subscription.next.renewing_estimate.eot.with_date,,Your next charge %{amount} will be on %{date} via,Your next charge %{amount} will be on %{date} via
inapp_portal.subscription.next.credits_created.now,,You will not be charged for this change and %{amount} will be added as refundable credits,You will not be charged for this change and %{amount} will be added as refundable credits
inapp_portal.subscription.details.trial.info,,"You have %{remaining_trial_period} of trial left. After your trial expires, you’ll be moved to the %{plan_name} plan","You have %{remaining_trial_period} of trial left. After your trial expires, you’ll be moved to the %{plan_name} plan"
inapp_portal.subscription.details.cancellation_scheduled.info,,Your subscription will be canceled on %{date},Your subscription will be canceled on %{date}
inapp_portal.subscription.next.renewing_estimate.now_zero,," %{amount} charged from available credits."," %{amount} charged from available credits."
inapp_portal.subscription.details.trial.info_today,,You trial will end today and you’ll be moved to the %{plan_name} plan,You trial will end today and you’ll be moved to the %{plan_name} plan
inapp_portal.subscription.details.active.info,,,
inapp_portal.subscription.details.non_renewing.info,,Your subscription will end on %{date},Your subscription will end on %{date}
inapp_portal.subscription.details.cancelled.info,,CANCELED. Your subscription has been canceled. Contact us to reactivate your subscription,CANCELED. Your subscription has been canceled. Contact us to reactivate your subscription
inapp_portal.subscription.details.paused.info,,Your subscription is currently paused.,Your subscription is currently paused.
inapp_portal.subscription.details.future.info,,Your subscription will start on %{date},Your subscription will start on %{date}
inapp_portal.subscription.edit.txt,,Edit Subscription,Edit Subscription
inapp_portal.choose_change_subscription.header,,Change subscription,Change subscription
inapp_portal.subscription.edit.chooser_question,,When do you want to change the subscription?,When do you want to change the subscription?
inapp_portal.subscription.change.immediately.option,,Change immediately,Change immediately
inapp_portal.subscription.change.eot.option,,Change on next renewal(%{date}),Change on next renewal(%{date})
inapp_portal.subscription.change.specific_date.option,,Change on a specific date,Change on a specific date
inapp_portal.subscription.change.option.submit,,Change subscription,Change subscription
inapp_portal.subscription.change.options.proceed,,proceed,proceed
inapp_portal.subscription.cancel.specific_date.option,,Cancel on a specific date,Cancel on a specific date
inapp_portal.remove_scheduled_changes.txt,,Remove scheduled changes,Remove scheduled changes
inapp_portal.subscription.remove_scheduled_cancellation.link_txt,,Remove scheduled cancellation,Remove scheduled cancellation
inapp_portal.remove_scheduled_changes.info,,These changes will be applied to your subscription from next renewal( %{date} ),These changes will be applied to your subscription from next renewal( %{date} )
inapp_portal.payment_method.header.view,,Payment Method Details,Payment Method Details
inapp_portal.payment_method.view.remove,,Remove Payment Method,Remove Payment Method
inapp_portal.payment_method.view.edit,,Edit Payment Method,Edit Payment Method
inapp_portal.payment_method.view.remove_prompt,,Are you sure you want to remove this payment method?,Are you sure you want to remove this payment method?
inapp_portal.subscription_cf.header.edit,,Update your subscription details,Update your subscription details
inapp_portal.subscription_cf.header.edit.submit,,Update,Update
inapp_portal.discounts_applied.label,,,
inapp_portal.items_in_total.custom_label,,,
inapp_portal.more_items_txt.custom_label,,,
inapp_portal.home.gift_sub.gifted_by,,Recieved from %{name},Recieved from %{name}
inapp_portal.sub_details.gift.gifted_by,,Gifted by %{name},Gifted by %{name}
inapp_portal.subscription.cancel.header,,Cancel Subscription,Cancel Subscription
inapp_portal.subscription.cancel.header.submit,,Confirm Cancellation,Confirm Cancellation
inapp_portal.subscription.cancel.when,,When do you want to cancel the subscription?,When do you want to cancel the subscription?
inapp_portal.subscription.cancel.eot.option,,Cancel on next renewal  (%{date}),Cancel on next renewal  (%{date})
inapp_portal.subscription.cancel.immediately.option,,Cancel Immediately,Cancel Immediately
inapp_portal.subscription.cancel.immediately.info,,Your subscription will be canceled immediately,Your subscription will be canceled immediately
inapp_portal.subscription.cancel.eot.info,,Your subscription will be canceled on %{date},Your subscription will be canceled on %{date}
inapp_portal.subscription.cancel.reason,,Reason for cancellation,Reason for cancellation
inapp_portal.subscription.cancel.feedback,,Is there anything else you would like to let us know?,Is there anything else you would like to let us know?
inapp_portal.subscription.cancel.reason.option,,Select a cancellation reason,Select a cancellation reason
inapp_portal.subscription.canceled.reason_code.info,,Your subscription was canceled with the reason '%{reason}',Your subscription was canceled with the reason '%{reason}'
inapp_portal.subscription.sch_cancel.reason_code.info,,Your subscription will be canceled with the reason '%{reason}',Your subscription will be canceled with the reason '%{reason}'
inapp_portal.scheduled_changes.header,,View scheduled changes,View scheduled changes
inapp_portal.scheduled_changes_navigation.header,,Changes from next renewal,Changes from next renewal
inapp_portal.subscription_preview_navigation.header,,Subscription Details,Subscription Details
inapp_portal.consent.header,,Permissions,Permissions
inapp_portal.consent_section.name,,Permissions,Permissions
inapp_portal.consent.revoke_alert,,Are you sure?,Are you sure?
inapp_portal.consent.submit,,Update,Update
inapp_portal.remove_scheduled_pause.confirm_txt,,The scheduled pause for your subscription will be removed. Continue?,The scheduled pause for your subscription will be removed. Continue?
inapp_portal.resume_subscription_now.confirm_txt,,Your subscription will resume immediately. Continue?,Your subscription will resume immediately. Continue?
inapp_portal.resume_now.link,,Resume now,Resume now
inapp_portal.remove_scheduled_pause.link,,Remove Scheduled Pause,Remove Scheduled Pause
inapp_portal.subscription.details.pause_scheduled.info,,Your subscription will be paused on %{date},Your subscription will be paused on %{date}
inapp_portal.subscription.details.resume_scheduled.info,,Your subscription will resume on %{date},Your subscription will resume on %{date}
inapp_portal.subscription.pause.link.txt,,Pause Subscription,Pause Subscription
inapp_portal.subscription.pause.header,,Pause Subscription,Pause Subscription
inapp_portal.subscription.pause.submit,,Pause Subscription,Pause Subscription
inapp_portal.subscription.pause.immediate_indefinite.info,,Your subscription will be paused immediately. You can resume your subscription anytime from the Subscription Details Page,Your subscription will be paused immediately. You can resume your subscription anytime from the Subscription Details Page
inapp_portal.subscription.pause.immediate_fixed_time.info,,"Your subscription will be paused immediately, and will resume after %{pause_period_set} days.","Your subscription will be paused immediately, and will resume after %{pause_period_set} days."
inapp_portal.subscription.pause.immediate_options.info,,Your subscription will be paused immediately.,Your subscription will be paused immediately.
inapp_portal.subscription.pause.immediate_indefinite.gen,,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.immediate_fixed_time.gen,,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.immediate_options.gen,,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.eot_indefinite.info,,Your subscription will be paused on %{date}.,Your subscription will be paused on %{date}.
inapp_portal.subscription.pause.eot_fixed_time.info,,"Your subscription will be paused on %{date} , and will resume after %{pause_period_set} days.","Your subscription will be paused on %{date} , and will resume after %{pause_period_set} days."
inapp_portal.subscription.pause.eot_options.info,,Your subscription will be paused on %{date}.,Your subscription will be paused on %{date}.
inapp_portal.subscription.pause.eot_indefinite.gen,,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.eot_fixed_time.gen,,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.eot_options.gen,,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.chooser_question,,How long do you want to pause the subscription?,How long do you want to pause the subscription?
inapp_portal.subscription.pause.custom_date,,Custom date,Custom date
inapp_portal.subscription.pause.choose_specific_date,,(Choose a specific date),(Choose a specific date)
inapp_portal.subscription.pause.pause_until,,Pause until,Pause until
inapp_portal.payment_method_tag.primary,,Primary,Primary
inapp_portal.payment_method_tag.backup,,Backup,Backup
inapp_portal.payment_method.suggest_backup,,Backups come handy when your primary payment fails. Set a backup.,Backups come handy when your primary payment fails. Set a backup.
inapp_portal.card.expiring,,Expires on %{card_expiry},Expires on %{card_expiry}
inapp_portal.card.expired,,Expired on %{card_expiry},Expired on %{card_expiry}
inapp_portal.pm.set_role.link,,Set this as primary or backup,Set this as primary or backup
inapp_portal.pm.set_role.title,,Set this payment method as,Set this payment method as
inapp_portal.pm.set_role.header,,Payment Method Settings,Payment Method Settings
inapp_portal.pm.set_role.update_btn,,Update,Update
inapp_portal.pm.set_role.skip_btn,,Skip,Skip
inapp_portal.pm.remove_backup.link,,Remove as backup,Remove as backup
inapp_portal.pm.remove_backup.message,,Remove backup? Backups come handy when your primary payment method fails.,Remove backup? Backups come handy when your primary payment method fails.
inapp_portal.pm.remove_backup.confirm,,Remove,Remove
inapp_portal.pm.set_primary.message,,Set this as primary? This will replace your current primary payment method,Set this as primary? This will replace your current primary payment method
inapp_portal.pm.set_primary.confirm,,Confirm,Confirm
inapp_portal.pm.set_primary.link,,Set as primary,Set as primary
inapp_portal.pm.primary.desc.txt,,This is your primary payment method,This is your primary payment method
inapp_portal.pm.backup.desc.txt,,This is your backup payment method,This is your backup payment method
inapp_portal.pm.primary.warning.txt,,This will replace your current primary payment method,This will replace your current primary payment method
inapp_portal.pm.backup.warning.txt,,This will replace your current backup payment method,This will replace your current backup payment method
inapp_portal.pm.primary.info.txt,,This will be charged for all your automatic payments.,This will be charged for all your automatic payments.
inapp_portal.pm.backup.info.txt,,This will be the backup when your primary payment method fails.,This will be the backup when your primary payment method fails.
inapp_portal.pm.primary.desc.detail,,This will be charged for all your automatic payments.,This will be charged for all your automatic payments.
inapp_portal.pm.backup.desc.detail,,This will be the backup when your primary payment method fails.,This will be the backup when your primary payment method fails.
inapp_portal.subscription.details.pm_warning,,"Make sure to keep this payment method updated, as your backup payment method will not be used for this subscription.","Make sure to keep this payment method updated, as your backup payment method will not be used for this subscription."
inapp_portal.error.future_date.required,,Please provide a future date in correct format to process the request.,Please provide a future date in correct format to process the request.
inapp_portal.addon_item_price_selection.header,,Change addon frequency,Change addon frequency
inapp_portal.addon_item_price_selection.title,,Select billing frequency,Select billing frequency
inapp_portal.addon_item_price_selection.update.btn,,Update,Update
inapp_portal.item_selection.header,,Change plan,Change plan
inapp_portal.item_selection.title,,Select billing frequency,Select billing frequency
inapp_portal.item_selection.update.btn,,Update,Update
inapp_portal.subscription.reactivate.link.txt,,Reactivate Subscription,Reactivate Subscription
